"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C200","0805","2030mil","770mil","2030mil","770mil","2067.401mil","770mil","T","180.00","50V"
"C107","0603","484.999mil","286mil","484.999mil","286mil","518.463mil","286mil","B","180.00","100nF"
"C106","0603","1129mil","1045mil","1129mil","1045mil","1129mil","1011.536mil","B","90.00","22nF"
"C105","0603","815mil","530mil","815mil","530mil","815mil","563.464mil","T","270.00","100nF"
"C104","0603","770mil","435mil","770mil","435mil","736.536mil","435mil","T","360.00","100nF"
"C103","1210","716mil","355mil","716mil","355mil","771.118mil","355mil","B","180.00","C1210"
"C102","1210","715mil","620mil","715mil","620mil","770.118mil","620mil","B","180.00","C1210"
"C101","1210","715mil","480mil","715mil","480mil","770.118mil","480mil","B","180.00","C1210"
"C100","1210","880mil","585mil","880mil","585mil","880mil","529.882mil","B","90.00","C1210"
"P101","Single_Wire_Lug","1490mil","710mil","1490mil","710mil","1490mil","710mil","T","180.00","Single Wire Lug"
"P102","Single_Wire_Lug","240mil","710mil","240mil","710mil","240mil","710mil","T","180.00","Single Wire Lug"
"R109","14-1210","615mil","960mil","615mil","960mil","615mil","904.882mil","T","90.00","1210"

